Year,NOC,Gold,Silver,Bronze,Is_Host,Total_medals,Total_events_4_Years,Total_events_8_Years,Total_events_12_Years,Total_disciplines_4_Years,Total_disciplines_8_Years,Total_disciplines_12_Years,Total_sports_4_Years,Total_sports_8_Years,Total_sports_12_Years,Participants_4_Years,Participants_8_Years,Participants_12_Years,Gold_4_Years,Gold_8_Years,Gold_12_Years,Total_medals_4_Years,Total_medals_8_Years,Total_medals_12_Years
1976,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,AND,0,0,0,0,0,198,0,0,27,0,0,21,0,0,3,0,0,0,0,0,0,0,0
1996,AND,0,0,0,0,0,203,0,0,27,0,0,21,0,0,2,0,0,0,0,0,0,0,0
2000,AND,0,0,0,0,0,221,0,0,29,0,0,21,0,0,2,0,0,0,0,0,0,0,0
2004,AND,0,0,0,0,0,237,0,0,31,0,0,23,0,0,4,0,0,0,0,0,0,0,0
2008,AND,0,0,0,0,0,257,198,0,34,27,0,25,21,0,8,3,0,0,0,0,0,0,0
2012,AND,0,0,0,0,0,271,203,0,37,27,0,25,21,0,8,2,0,0,0,0,0,0,0
2016,AND,0,0,0,0,0,300,221,0,40,29,0,27,21,0,5,2,0,0,0,0,0,0,0
2020,AND,0,0,0,0,0,301,237,0,40,31,0,27,23,0,6,4,0,0,0,0,0,0,0
2024,AND,0,0,0,0,0,302,257,198,42,34,27,27,25,21,5,8,3,0,0,0,0,0,0
1980,ANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,ANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,ANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,ANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,ANG,0,0,0,0,0,203,0,0,27,0,0,21,0,0,17,0,0,0,0,0,0,0,0
2004,ANG,0,0,0,0,0,237,0,0,31,0,0,23,0,0,33,0,0,0,0,0,0,0,0
2008,ANG,0,0,0,0,0,257,0,0,34,0,0,25,0,0,33,0,0,0,0,0,0,0,0
2012,ANG,0,0,0,0,0,271,0,0,37,0,0,25,0,0,30,0,0,0,0,0,0,0,0
2016,ANG,0,0,0,0,0,300,203,0,40,27,0,27,21,0,30,17,0,0,0,0,0,0,0
2020,ANG,0,0,0,0,0,301,237,0,40,31,0,27,23,0,30,33,0,0,0,0,0,0,0
2024,ANG,0,0,0,0,0,302,257,0,42,34,0,27,25,0,33,33,0,0,0,0,0,0,0
1976,ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,ANT,0,0,0,0,0,198,0,0,27,0,0,21,0,0,17,0,0,0,0,0,0,0,0
2000,ANT,0,0,0,0,0,221,0,0,29,0,0,21,0,0,27,0,0,0,0,0,0,0,0
2004,ANT,0,0,0,0,0,237,0,0,31,0,0,23,0,0,25,0,0,0,0,0,0,0,0
2008,ANT,0,0,0,0,0,257,0,0,34,0,0,25,0,0,18,0,0,0,0,0,0,0,0
2012,ANT,0,0,0,0,0,271,198,0,37,27,0,25,21,0,19,17,0,0,0,0,0,0,0
2016,ANT,0,0,0,0,0,300,221,0,40,29,0,27,21,0,4,27,0,0,0,0,0,0,0
2020,ANT,0,0,0,0,0,301,237,0,40,31,0,27,23,0,5,25,0,0,0,0,0,0,0
2024,ANT,0,0,0,0,0,302,257,0,42,34,0,27,25,0,5,18,0,0,0,0,0,0,0
1908,ANZ,15,2,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,ANZ,5,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,ARG,5,3,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,ARG,3,18,5,0,26,97,0,0,22,0,0,20,0,0,1,0,0,0,0,0,0,0,0
1932,ARG,3,1,0,0,4,110,0,0,25,0,0,22,0,0,1,0,0,0,0,0,0,0,0
1936,ARG,5,2,4,0,11,156,0,0,29,0,0,22,0,0,1,0,0,0,0,0,0,0,0
1948,ARG,3,7,1,0,11,126,0,0,23,0,0,17,0,0,109,0,0,5,0,0,10,0,0
1952,ARG,2,2,2,0,6,109,97,0,20,22,0,14,20,0,98,1,0,3,0,0,26,0,0
1956,ARG,0,1,1,0,2,117,110,0,20,25,0,14,22,0,47,1,0,3,0,0,4,0,0
1960,ARG,0,3,1,0,4,129,156,0,25,29,0,19,22,0,68,1,0,5,0,0,11,0,0
1964,ARG,0,1,0,0,1,136,126,0,23,23,0,17,17,0,295,109,0,3,5,0,11,10,0
1968,ARG,0,0,2,0,2,149,109,97,23,20,22,17,14,20,174,98,1,2,3,0,6,26,0
1972,ARG,0,1,0,0,1,151,117,110,23,20,25,17,14,22,44,47,1,0,3,0,2,4,0
1976,ARG,0,0,0,0,0,150,129,156,23,25,29,17,19,22,116,68,1,0,5,0,4,11,0
1984,ARG,0,0,0,0,0,163,136,126,25,23,23,19,17,17,148,295,109,0,3,5,1,11,10
1988,ARG,0,1,12,0,13,172,149,109,24,23,20,18,17,14,132,174,98,0,2,3,2,6,26
1992,ARG,0,0,2,0,2,195,151,117,28,23,20,21,17,14,123,44,47,0,0,3,1,2,4
1996,ARG,0,19,1,0,20,198,150,129,27,23,25,21,17,19,106,116,68,0,0,5,0,4,11
2000,ARG,0,17,3,0,20,221,163,136,29,25,23,21,19,17,115,148,295,0,0,3,0,1,11
2004,ARG,28,0,21,0,49,237,172,149,31,24,23,23,18,17,134,132,174,0,0,2,13,2,6
2008,ARG,20,0,31,0,51,257,195,151,34,28,23,25,21,17,111,123,44,0,0,0,2,1,2
2012,ARG,1,15,3,0,19,271,198,150,37,27,23,25,21,17,221,106,116,0,0,0,20,0,4
2016,ARG,21,1,0,0,22,300,221,163,40,29,25,27,21,19,165,115,148,0,0,0,20,0,1
2020,ARG,0,18,25,0,43,301,237,172,40,31,24,27,23,18,179,134,132,28,0,0,49,13,2
2024,ARG,1,2,16,0,19,302,257,195,42,34,28,27,25,21,145,111,123,20,0,0,51,2,1
1996,ARM,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,ARM,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,ARM,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,ARM,0,1,2,0,3,271,0,0,37,0,0,25,0,0,38,0,0,1,0,0,2,0,0
2016,ARM,1,3,0,0,4,300,0,0,40,0,0,27,0,0,26,0,0,0,0,0,1,0,0
2020,ARM,0,2,2,0,4,301,0,0,40,0,0,27,0,0,19,0,0,0,0,0,0,0,0
2024,ARM,0,3,1,0,4,302,0,0,42,0,0,27,0,0,26,0,0,0,0,0,6,0,0
1988,ARU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,ARU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,ARU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,ARU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARU,0,0,0,0,0,237,0,0,31,0,0,23,0,0,12,0,0,0,0,0,0,0,0
2008,ARU,0,0,0,0,0,257,0,0,34,0,0,25,0,0,5,0,0,0,0,0,0,0,0
2012,ARU,0,0,0,0,0,271,0,0,37,0,0,25,0,0,3,0,0,0,0,0,0,0,0
2016,ARU,0,0,0,0,0,300,0,0,40,0,0,27,0,0,5,0,0,0,0,0,0,0,0
2020,ARU,0,0,0,0,0,301,237,0,40,31,0,27,23,0,4,12,0,0,0,0,0,0,0
2024,ARU,0,0,0,0,0,302,257,0,42,34,0,27,25,0,2,5,0,0,0,0,0,0,0
1988,ASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,ASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,ASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,ASA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ASA,0,0,0,0,0,237,0,0,31,0,0,23,0,0,6,0,0,0,0,0,0,0,0
2008,ASA,0,0,0,0,0,257,0,0,34,0,0,25,0,0,3,0,0,0,0,0,0,0,0
2012,ASA,0,0,0,0,0,271,0,0,37,0,0,25,0,0,7,0,0,0,0,0,0,0,0
2016,ASA,0,0,0,0,0,300,0,0,40,0,0,27,0,0,4,0,0,0,0,0,0,0,0
2020,ASA,0,0,0,0,0,301,237,0,40,31,0,27,23,0,3,6,0,0,0,0,0,0,0
2024,ASA,0,0,0,0,0,302,257,0,42,34,0,27,25,0,4,3,0,0,0,0,0,0,0
1896,AUS,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,AUS,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,AUS,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,AUS,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,AUS,0,6,1,0,7,43,0,0,10,0,0,11,0,0,5,0,0,2,0,0,3,0,0
1924,AUS,3,5,2,0,10,97,0,0,22,0,0,20,0,0,6,0,0,3,0,0,6,0,0
1928,AUS,1,2,1,0,4,95,0,0,18,0,0,16,0,0,6,0,0,0,0,0,4,0,0
1932,AUS,3,1,1,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0
1936,AUS,0,0,1,0,1,156,43,0,29,10,0,22,11,0,29,5,0,0,2,0,7,3,0
1948,AUS,2,9,5,0,16,126,97,0,23,22,0,17,20,0,60,6,0,3,3,0,10,6,0
1952,AUS,7,2,11,0,20,109,95,0,20,18,0,14,16,0,29,6,0,1,0,0,4,4,0
1956,AUS,28,13,26,1,67,117,0,0,20,0,0,14,0,0,20,10,0,3,0,0,5,3,0
1960,AUS,11,24,11,0,46,129,156,43,25,29,10,19,22,11,39,29,5,0,0,2,1,7,3
1964,AUS,8,6,30,0,44,136,126,97,23,23,22,17,17,20,103,60,6,2,3,3,16,10,6
1968,AUS,5,35,11,0,51,149,109,95,23,20,18,17,14,16,140,29,6,7,1,0,20,4,4
1972,AUS,11,7,2,0,20,151,117,0,23,20,0,17,14,0,412,20,10,28,3,0,67,5,3
1976,AUS,0,15,8,0,23,150,129,156,23,25,29,17,19,22,280,39,29,11,0,0,46,1,7
1980,AUS,6,2,5,0,13,163,136,126,25,23,23,19,17,17,392,103,60,8,2,3,44,16,10
1984,AUS,7,14,31,0,52,172,149,109,24,23,20,18,17,14,224,140,29,5,7,1,51,20,4
1988,AUS,18,6,11,0,35,195,151,117,28,23,20,21,17,14,266,412,20,11,28,3,20,67,5
1992,AUS,14,27,16,0,57,198,150,129,27,23,25,21,17,19,274,280,39,0,11,0,23,46,1
1996,AUS,32,16,84,0,132,203,163,136,27,25,23,21,19,17,190,392,103,6,8,2,13,44,16
2000,AUS,60,69,54,1,183,221,172,149,29,24,23,21,18,17,337,224,140,7,5,7,52,51,20
2004,AUS,49,77,31,0,157,237,195,151,31,28,23,23,21,17,339,266,412,18,11,28,35,20,67
2008,AUS,31,42,76,0,149,257,198,150,34,27,23,25,21,17,390,274,280,14,0,11,57,23,46
2012,AUS,18,37,59,0,114,271,203,163,37,27,25,25,21,19,550,190,392,32,6,8,132,13,44
2016,AUS,23,34,25,0,82,300,221,172,40,29,24,27,21,18,788,337,224,60,7,5,183,52,51
2020,AUS,36,28,67,0,131,301,237,195,40,31,28,27,23,21,601,339,266,49,18,11,157,35,20
2024,AUS,33,44,44,0,121,302,257,198,42,34,27,27,25,21,570,390,274,31,14,0,149,57,23
1896,AUT,2,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,AUT,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,AUT,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,AUT,3,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,AUT,0,0,1,0,1,43,0,0,10,0,0,11,0,0,8,0,0,2,0,0,5,0,0
1912,AUT,0,9,5,0,14,97,0,0,22,0,0,20,0,0,26,0,0,0,0,0,6,0,0
1924,AUT,0,3,1,0,4,95,0,0,18,0,0,16,0,0,7,0,0,2,0,0,4,0,0
1928,AUT,3,0,2,0,5,0,0,0,0,0,0,0,0,0,100,0,0,3,0,0,9,0,0
1932,AUT,1,1,3,0,5,110,43,0,25,10,0,22,11,0,13,8,0,0,2,0,1,5,0
1936,AUT,6,42,7,0,55,102,97,0,18,22,0,14,20,0,132,26,0,0,0,0,14,6,0
1948,AUT,2,2,4,0,8,126,95,0,23,18,0,17,16,0,56,7,0,0,2,0,4,4,0
1952,AUT,0,1,2,0,3,109,0,0,20,0,0,14,0,0,113,100,0,3,3,0,5,9,0
1956,AUT,0,0,4,0,4,117,110,43,20,25,10,14,22,11,33,13,8,1,0,2,5,1,5
1960,AUT,1,2,0,0,3,129,102,97,25,18,22,19,14,20,363,132,26,6,0,0,55,14,6
1964,AUT,0,0,0,0,0,136,126,95,23,23,18,17,17,16,239,56,7,2,0,2,8,4,4
1968,AUT,0,2,3,0,5,149,109,0,23,20,0,17,14,0,238,113,100,0,3,3,3,5,9
1972,AUT,0,1,2,0,3,151,117,110,23,20,25,17,14,22,57,33,13,0,1,0,4,5,1
1976,AUT,0,0,1,0,1,150,129,102,23,25,18,17,19,14,198,363,132,1,6,0,3,55,14
1980,AUT,1,3,1,0,5,163,136,126,25,23,23,19,17,17,82,239,56,0,2,0,0,8,4
1984,AUT,1,1,1,0,3,172,149,109,24,23,20,18,17,14,59,238,113,0,0,3,5,3,5
1988,AUT,1,0,0,0,1,195,151,117,28,23,20,21,17,14,143,57,33,0,0,1,3,4,5
1992,AUT,0,6,0,0,6,198,150,129,27,23,25,21,17,19,73,198,363,0,1,6,1,3,55
1996,AUT,0,1,2,0,3,203,163,136,27,25,23,21,19,17,92,82,239,1,0,2,5,0,8
2000,AUT,3,1,0,0,4,221,172,149,29,24,23,21,18,17,130,59,238,1,0,0,3,5,3
2004,AUT,3,4,1,0,8,237,195,151,31,28,23,23,21,17,96,143,57,1,0,0,1,3,4
2008,AUT,0,1,2,0,3,257,198,150,34,27,23,25,21,17,127,73,198,0,0,1,6,1,3
2012,AUT,0,0,0,0,0,271,203,163,37,27,25,25,21,19,92,92,82,0,1,0,3,5,0
2016,AUT,0,0,2,0,2,300,221,172,40,29,24,27,21,18,114,130,59,3,1,0,4,3,5
2020,AUT,1,1,5,0,7,301,237,195,40,31,28,27,23,21,92,96,143,3,1,0,8,1,3
2024,AUT,3,0,3,0,6,302,257,198,42,34,27,27,25,21,93,127,73,0,0,0,3,6,1
1996,AZE,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,AZE,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,AZE,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,AZE,1,2,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AZE,2,2,6,0,10,271,0,0,37,0,0,25,0,0,24,0,0,0,0,0,1,0,0
2016,AZE,1,7,10,0,18,300,0,0,40,0,0,27,0,0,32,0,0,2,0,0,3,0,0
2020,AZE,0,3,4,0,7,301,0,0,40,0,0,27,0,0,37,0,0,1,0,0,5,0,0
2024,AZE,2,2,3,0,7,302,0,0,42,0,0,27,0,0,44,0,0,1,0,0,7,0,0
1952,BAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,BAH,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,BAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,BAH,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,BAH,0,0,0,0,0,149,0,0,23,0,0,17,0,0,7,0,0,0,0,0,0,0,0
1972,BAH,0,0,0,0,0,151,0,0,23,0,0,17,0,0,5,0,0,0,0,0,2,0,0
1976,BAH,0,0,0,0,0,150,0,0,23,0,0,17,0,0,14,0,0,0,0,0,0,0,0
1984,BAH,0,0,0,0,0,163,0,0,25,0,0,19,0,0,12,0,0,2,0,0,2,0,0
1988,BAH,0,0,0,0,0,172,149,0,24,23,0,18,17,0,22,7,0,0,0,0,0,0,0
1992,BAH,0,0,1,0,1,195,151,0,28,23,0,21,17,0,25,5,0,0,0,0,0,2,0
1996,BAH,0,5,0,0,5,198,150,0,27,23,0,21,17,0,19,14,0,0,0,0,0,0,0
2000,BAH,6,0,5,0,11,221,163,0,29,25,0,21,19,0,31,12,0,0,2,0,0,2,0
2004,BAH,1,0,1,0,2,237,172,149,31,24,23,23,18,17,18,22,7,0,0,0,0,0,0
2008,BAH,0,6,1,0,7,257,195,151,34,28,23,25,21,17,18,25,5,0,0,0,1,0,2
2012,BAH,4,0,0,0,4,271,198,150,37,27,23,25,21,17,36,19,14,0,0,0,5,0,0
2016,BAH,1,0,5,0,6,300,221,163,40,29,25,27,21,19,39,31,12,6,0,2,11,0,2
2020,BAH,2,0,0,0,2,301,237,172,40,31,24,27,23,18,28,18,22,1,0,0,2,0,0
2024,BAH,0,0,0,0,0,302,257,195,42,34,28,27,25,21,33,18,25,0,0,0,7,1,0
1984,BAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,BAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,BAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,BAN,0,0,0,0,0,221,0,0,29,0,0,21,0,0,2,0,0,0,0,0,0,0,0
2004,BAN,0,0,0,0,0,237,0,0,31,0,0,23,0,0,11,0,0,0,0,0,0,0,0
2008,BAN,0,0,0,0,0,257,0,0,34,0,0,25,0,0,9,0,0,0,0,0,0,0,0
2012,BAN,0,0,0,0,0,271,0,0,37,0,0,25,0,0,4,0,0,0,0,0,0,0,0
2016,BAN,0,0,0,0,0,300,221,0,40,29,0,27,21,0,6,2,0,0,0,0,0,0,0
2020,BAN,0,0,0,0,0,301,237,0,40,31,0,27,23,0,4,11,0,0,0,0,0,0,0
2024,BAN,0,0,0,0,0,302,257,0,42,34,0,27,25,0,5,9,0,0,0,0,0,0,0
1968,BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,BAR,0,0,0,0,0,172,0,0,24,0,0,18,0,0,13,0,0,0,0,0,0,0,0
1992,BAR,0,0,0,0,0,195,0,0,28,0,0,21,0,0,20,0,0,0,0,0,0,0,0
1996,BAR,0,0,0,0,0,198,0,0,27,0,0,21,0,0,17,0,0,0,0,0,0,0,0
2000,BAR,0,0,1,0,1,221,0,0,29,0,0,21,0,0,25,0,0,0,0,0,0,0,0
2004,BAR,0,0,0,0,0,237,172,0,31,24,0,23,18,0,26,13,0,0,0,0,0,0,0
2008,BAR,0,0,0,0,0,257,195,0,34,28,0,25,21,0,22,20,0,0,0,0,0,0,0
2012,BAR,0,0,0,0,0,271,198,0,37,27,0,25,21,0,22,17,0,0,0,0,0,0,0
2016,BAR,0,0,0,0,0,300,221,0,40,29,0,27,21,0,28,25,0,0,0,0,1,0,0
2020,BAR,0,0,0,0,0,301,237,172,40,31,24,27,23,18,15,26,13,0,0,0,0,0,0
